Age,Fare,SibSp,Parch,Sex,Embarked,Pclass,prediction,label,version,timestamp
35.0,26.2875,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
18.0,14.4542,0,1,female,c,3,0,0,1,2026-02-18 14:06:25.781373
25.0,7.7417,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
26.0,7.8542,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
39.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
45.0,13.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
42.0,26.2875,0,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
22.0,151.55,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,15.2458,1,1,male,c,3,0,1,1,2026-02-18 14:06:25.781373
24.0,49.5042,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
,26.55,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
48.0,52.0,1,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
29.0,9.4833,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
52.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
19.0,7.65,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
38.0,227.525,0,0,female,c,1,1,1,1,2026-02-18 14:06:25.781373
27.0,10.5,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,15.5,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
33.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
6.0,33.0,0,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
17.0,7.0542,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
34.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
50.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
27.0,53.1,1,0,male,s,1,1,1,1,2026-02-18 14:06:25.781373
20.0,8.6625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,21.0,3,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
,7.7375,0,0,female,q,3,1,1,1,2026-02-18 14:06:25.781373
25.0,26.0,1,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
25.0,7.925,1,0,female,s,3,1,0,1,2026-02-18 14:06:25.781373
29.0,211.3375,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
11.0,18.7875,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
,0.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
23.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
23.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
28.5,16.1,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
48.0,34.375,1,3,female,s,3,0,0,1,2026-02-18 14:06:25.781373
35.0,512.3292,0,0,male,c,1,1,1,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,30.0,0,0,male,s,1,0,1,1,2026-02-18 14:06:25.781373
36.0,78.85,1,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
21.0,262.375,2,2,female,c,1,1,1,1,2026-02-18 14:06:25.781373
24.0,16.1,1,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
31.0,7.925,0,0,male,s,3,0,1,1,2026-02-18 14:06:25.781373
70.0,71.0,1,1,male,s,1,0,0,1,2026-02-18 14:06:25.781373
16.0,20.25,1,1,male,s,3,0,0,1,2026-02-18 14:06:25.781373
30.0,13.0,0,0,female,s,2,1,1,1,2026-02-18 14:06:25.781373
19.0,53.1,1,0,male,s,1,1,0,1,2026-02-18 14:06:25.781373
31.0,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
4.0,23.0,1,1,female,s,2,1,1,1,2026-02-18 14:06:25.781373
6.0,12.475,0,1,male,s,3,1,1,1,2026-02-18 14:06:25.781373
33.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
23.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
48.0,65.0,1,2,female,s,2,1,1,1,2026-02-18 14:06:25.781373
0.67,14.5,1,1,male,s,2,1,1,1,2026-02-18 14:06:25.781373
28.0,7.7958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,11.5,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
34.0,8.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
33.0,86.5,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,14.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
41.0,7.125,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
20.0,7.2292,0,0,male,c,3,0,1,1,2026-02-18 14:06:25.781373
36.0,120.0,1,2,female,s,1,1,1,1,2026-02-18 14:06:25.781373
16.0,7.775,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
51.0,77.9583,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
,39.6,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
30.5,7.75,0,0,female,q,3,1,0,1,2026-02-18 14:06:25.781373
,24.15,1,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
32.0,8.3625,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
24.0,9.5,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
48.0,7.8542,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
57.0,10.5,0,0,female,s,2,1,0,1,2026-02-18 14:06:25.781373
,7.225,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
54.0,23.0,1,3,female,s,2,1,1,1,2026-02-18 14:06:25.781373
18.0,7.75,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
5.0,12.475,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
,7.7375,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
43.0,211.3375,0,1,female,s,1,1,1,1,2026-02-18 14:06:25.781373
13.0,7.2292,0,0,female,c,3,1,1,1,2026-02-18 14:06:25.781373
17.0,57.0,1,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
29.0,30.0,0,0,male,s,1,0,0,1,2026-02-18 14:06:25.781373
,23.45,1,2,male,s,3,0,0,1,2026-02-18 14:06:25.781373
25.0,7.05,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
25.0,7.25,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
18.0,7.4958,0,0,female,s,3,1,1,1,2026-02-18 14:06:25.781373
8.0,29.125,4,1,male,q,3,0,0,1,2026-02-18 14:06:25.781373
1.0,20.575,1,2,male,s,3,1,1,1,2026-02-18 14:06:25.781373
46.0,79.2,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
,7.75,0,0,male,q,3,0,0,1,2026-02-18 14:06:25.781373
16.0,26.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
,69.55,8,2,female,s,3,0,0,1,2026-02-18 14:06:25.781373
,30.6958,0,0,male,c,1,0,0,1,2026-02-18 14:06:25.781373
25.0,7.8958,0,0,male,s,3,0,0,1,2026-02-18 14:06:25.781373
39.0,13.0,0,0,male,s,2,0,0,1,2026-02-18 14:06:25.781373
49.0,25.9292,0,0,female,s,1,1,1,1,2026-02-18 14:06:25.781373
31.0,8.6833,0,0,female,s,3,0,1,1,2026-02-18 14:06:25.781373
30.0,7.2292,0,0,male,c,3,0,0,1,2026-02-18 14:06:25.781373
